danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.4710,0.9410,0.0000,-4.2460,1.0000,0.1230,0.0002,0.0000,0.1030,0.4870,76.4870,222669.0000,0
0.6760,0.5020,2.0000,-15.4270,1.0000,0.0271,0.0834,0.0000,0.0676,0.9640,89.8160,141400.0000,0
0.7070,0.4270,2.0000,-8.6840,0.0000,0.0936,0.0007,0.0013,0.1110,0.7190,80.0350,196693.0000,0
0.8210,0.6810,5.0000,-9.2870,1.0000,0.2580,0.0015,0.8330,0.0809,0.0620,125.9970,371891.0000,0
0.6630,0.9050,1.0000,-3.7810,0.0000,0.0511,0.0325,0.0000,0.3330,0.3970,125.9960,175000.0000,0
0.6210,0.9250,2.0000,-2.9330,1.0000,0.0434,0.0238,0.0002,0.3130,0.0387,127.9950,187739.0000,0
0.4950,0.7790,7.0000,-6.6780,1.0000,0.0706,0.0457,0.0002,0.0813,0.5450,139.0760,201413.0000,0
0.7670,0.5510,0.0000,-7.3280,1.0000,0.0616,0.0036,0.0000,0.0451,0.7960,100.9040,275707.0000,0
0.6180,0.9700,5.0000,-1.9280,0.0000,0.0870,0.0062,0.0004,0.0547,0.6840,100.0390,162640.0000,0
0.7860,0.8720,9.0000,-4.6700,0.0000,0.1880,0.0378,0.0000,0.0267,0.6760,118.0300,262667.0000,0
0.6170,0.6720,8.0000,-3.6240,1.0000,0.0785,0.0152,0.0001,0.6640,0.1460,149.1810,198121.0000,0
0.3830,0.6900,10.0000,-5.2990,0.0000,0.4520,0.0259,0.0000,0.4220,0.2420,70.9290,372707.0000,0
0.5470,0.7470,8.0000,-5.5500,1.0000,0.0376,0.1380,0.0139,0.4390,0.2190,127.9610,237156.0000,0
0.6800,0.8040,7.0000,-5.0760,1.0000,0.0288,0.1550,0.0033,0.2750,0.6230,130.0730,211233.0000,0
0.6980,0.8620,2.0000,-5.1970,0.0000,0.0615,0.0052,0.0040,0.2740,0.2560,125.0260,170451.0000,0
0.8340,0.4880,3.0000,-7.8800,1.0000,0.0446,0.7530,0.1240,0.0967,0.3320,115.9880,259712.0000,0
0.8360,0.7090,11.0000,-9.1350,0.0000,0.0352,0.1540,0.3920,0.0894,0.9690,145.9520,359213.0000,0
0.6570,0.7710,4.0000,-5.4470,0.0000,0.0445,0.1050,0.0000,0.2110,0.3750,105.0190,213411.0000,0
0.7750,0.6210,1.0000,-7.6340,1.0000,0.2950,0.3320,0.0000,0.1220,0.1500,118.8430,252040.0000,0
0.6630,0.6030,7.0000,-6.7230,1.0000,0.1360,0.3490,0.0000,0.0969,0.6400,90.0360,177337.0000,0
0.6010,0.4220,10.0000,-13.3640,0.0000,0.5180,0.2100,0.0000,0.0839,0.5630,132.4560,226987.0000,0
0.7230,0.7420,11.0000,-8.3710,0.0000,0.1030,0.0640,0.5670,0.3730,0.2730,122.0420,183307.0000,0
0.4780,0.5610,5.0000,-11.3070,0.0000,0.2640,0.0004,0.0002,0.2770,0.2580,82.3370,165787.0000,0
0.5510,0.2920,0.0000,-15.4940,1.0000,0.0383,0.0802,0.0000,0.0811,0.5820,78.1580,196067.0000,0
0.5200,0.7090,5.0000,-5.1940,1.0000,0.1090,0.0156,0.0000,0.1030,0.3290,79.0330,241387.0000,0
0.7130,0.9090,3.0000,-4.2740,1.0000,0.0306,0.0030,0.0007,0.6990,0.4380,132.0220,187273.0000,0
0.5930,0.9370,9.0000,-4.3560,0.0000,0.0722,0.0006,0.8650,0.0789,0.1220,128.0340,213658.0000,0
0.2370,0.6980,2.0000,-7.6980,1.0000,0.0465,0.0007,0.1990,0.1160,0.7940,186.0930,307360.0000,0
0.4790,0.5580,7.0000,-10.5170,1.0000,0.0869,0.8440,0.1800,0.0958,0.5670,126.0650,222907.0000,0
0.6780,0.8170,8.0000,-7.0050,1.0000,0.0675,0.0341,0.0000,0.3440,0.7700,114.9870,252040.0000,0
0.6870,0.5350,10.0000,-10.4890,0.0000,0.1310,0.5810,0.1010,0.3450,0.5160,94.9260,296694.0000,0
0.7920,0.7330,11.0000,-5.7100,0.0000,0.3890,0.0068,0.0000,0.2900,0.6530,144.8570,262787.0000,0
0.7090,0.4980,5.0000,-7.3000,0.0000,0.0803,0.3080,0.0000,0.0967,0.1240,99.9650,178859.0000,0
0.8600,0.6580,1.0000,-7.8200,1.0000,0.0796,0.2510,0.0000,0.1110,0.7390,91.0210,184817.0000,0
0.7910,0.6390,8.0000,-9.9950,0.0000,0.4560,0.4210,0.0000,0.1380,0.5100,87.9800,181394.0000,0
0.6230,0.8530,4.0000,-5.3560,1.0000,0.0472,0.1410,0.0000,0.1430,0.7830,106.0990,196600.0000,0
0.4330,0.8380,2.0000,-4.3690,0.0000,0.0363,0.0028,0.0019,0.1360,0.3790,128.0640,166240.0000,0
0.8570,0.8550,10.0000,-4.0910,1.0000,0.2240,0.0522,0.0000,0.2010,0.5570,115.0380,165749.0000,0
0.6530,0.7560,0.0000,-7.7940,1.0000,0.0366,0.0036,0.0065,0.0890,0.4200,120.8200,285596.0000,0
0.7610,0.8280,10.0000,-6.1720,0.0000,0.0291,0.0175,0.0003,0.1240,0.5500,124.0350,188710.0000,0
0.8850,0.6970,3.0000,-5.3710,1.0000,0.2010,0.0927,0.0002,0.0595,0.6340,150.4980,306653.0000,0
0.4940,0.8920,7.0000,-4.1390,1.0000,0.0942,0.0318,0.0000,0.0816,0.3690,127.8980,212963.0000,0
0.7100,0.7630,0.0000,-6.6930,1.0000,0.0279,0.4020,0.0001,0.0581,0.5080,115.5790,203547.0000,0
0.7610,0.4960,2.0000,-8.6570,1.0000,0.1310,0.0047,0.0000,0.2450,0.3840,93.7620,284507.0000,0
0.4470,0.7820,4.0000,-6.4730,0.0000,0.1690,0.0191,0.2450,0.4710,0.0364,130.1210,172091.0000,0
0.7150,0.5760,0.0000,-6.6520,1.0000,0.1280,0.0863,0.0000,0.0822,0.5760,128.9620,214508.0000,0
0.6310,0.8490,9.0000,-10.2950,0.0000,0.0352,0.0179,0.0036,0.1580,0.5770,128.1000,243933.0000,0
0.9500,0.8030,6.0000,-9.4070,1.0000,0.1040,0.0077,0.4120,0.5790,0.9320,124.0040,246290.0000,0
0.5110,0.8510,7.0000,-7.6730,1.0000,0.4600,0.1140,0.0000,0.3330,0.3650,174.5880,318467.0000,0
0.5180,0.7530,5.0000,-3.4110,0.0000,0.0655,0.0302,0.0000,0.3010,0.5580,81.2390,227640.0000,0
0.6390,0.8690,10.0000,-3.4810,1.0000,0.0239,0.1280,0.0000,0.1690,0.2970,104.9940,200857.0000,0
0.6910,0.8410,10.0000,-4.8320,0.0000,0.0633,0.0275,0.0003,0.2320,0.4030,100.0450,183200.0000,0
0.4980,0.2460,9.0000,-13.4100,1.0000,0.0342,0.7270,0.0004,0.0781,0.1520,151.2550,176880.0000,0
0.8870,0.6310,7.0000,-8.1240,1.0000,0.1720,0.1020,0.0001,0.1070,0.4820,95.0320,166707.0000,0
0.3210,0.9440,7.0000,-5.5750,1.0000,0.0666,0.0275,0.0007,0.3410,0.3980,172.9720,223360.0000,0
0.8040,0.6540,10.0000,-3.9700,0.0000,0.0411,0.1030,0.0004,0.0759,0.8540,103.0100,242427.0000,0
0.5740,0.9400,0.0000,-4.5080,1.0000,0.0495,0.0032,0.6230,0.1500,0.2210,126.0150,254286.0000,0
0.7510,0.7290,0.0000,-5.9160,1.0000,0.0324,0.3470,0.0000,0.5110,0.6840,110.3300,211293.0000,0
0.7840,0.3240,4.0000,-9.0010,1.0000,0.0356,0.8850,0.0000,0.1010,0.6500,103.0270,163607.0000,0
0.9270,0.4950,4.0000,-8.7780,0.0000,0.3040,0.0689,0.0001,0.0826,0.6180,96.3720,236467.0000,0
0.9240,0.6150,5.0000,-8.2990,0.0000,0.2560,0.1460,0.0000,0.1630,0.8790,91.9700,188493.0000,0
0.4230,0.7760,11.0000,-6.4850,1.0000,0.0452,0.0008,0.0000,0.0911,0.5690,109.9910,226905.0000,0
0.5860,0.4880,6.0000,-9.1550,1.0000,0.4020,0.0125,0.0000,0.0404,0.5940,87.0280,255267.0000,0
0.7220,0.9610,9.0000,-4.8120,1.0000,0.0514,0.0883,0.6100,0.2780,0.9100,126.1130,229165.0000,0
0.6400,0.6970,6.0000,-9.7850,0.0000,0.3520,0.0780,0.0000,0.2970,0.7230,177.6100,319907.0000,0
0.4600,0.9490,10.0000,-4.7010,1.0000,0.0781,0.0022,0.0935,0.2110,0.5000,142.9800,196400.0000,0
0.4160,0.7350,8.0000,-5.3910,1.0000,0.4030,0.1070,0.0000,0.5730,0.6970,108.1590,195827.0000,0
0.8410,0.5770,10.0000,-7.5250,0.0000,0.4100,0.1010,0.0000,0.0659,0.6400,89.3890,234000.0000,0
0.6240,0.8630,5.0000,-7.9810,0.0000,0.0633,0.0060,0.7810,0.3780,0.1880,144.9680,149905.0000,0
0.5130,0.5640,5.0000,-9.0830,1.0000,0.0265,0.7480,0.0000,0.1150,0.1400,74.9830,220800.0000,0
0.6800,0.8050,0.0000,-4.9170,1.0000,0.0449,0.0141,0.0000,0.1440,0.1850,102.0010,199560.0000,0
0.6710,0.7100,9.0000,-6.9970,0.0000,0.1090,0.3350,0.0000,0.0740,0.2330,102.0220,199179.0000,0
0.6400,0.8940,11.0000,-5.1170,1.0000,0.0982,0.2060,0.0000,0.1410,0.3630,123.0180,224878.0000,0
0.5540,0.9940,11.0000,-1.5540,0.0000,0.1650,0.0027,0.0000,0.1370,0.2210,100.0210,237558.0000,0
0.5220,0.7580,2.0000,-4.9270,1.0000,0.0352,0.0015,0.0000,0.1730,0.1710,145.1480,239440.0000,0
0.8160,0.8060,2.0000,-3.0230,0.0000,0.0563,0.0347,0.0001,0.2550,0.8220,79.9870,232550.0000,0
0.7660,0.8690,2.0000,-2.2690,0.0000,0.1610,0.4640,0.0000,0.0605,0.6110,94.0770,207640.0000,0
0.3250,0.6910,0.0000,-9.4340,1.0000,0.0438,0.1700,0.4440,0.0681,0.3590,170.0550,299445.0000,0
0.4070,0.7650,9.0000,-6.1040,1.0000,0.0313,0.3850,0.0027,0.0693,0.6890,121.0870,291947.0000,0
0.5260,0.4890,5.0000,-6.8690,0.0000,0.0321,0.5480,0.0000,0.1320,0.3500,136.8070,224027.0000,0
0.3100,0.9540,11.0000,-4.5600,0.0000,0.2880,0.0071,0.0001,0.2370,0.4210,143.7360,203347.0000,0
0.5850,0.9970,11.0000,-3.8050,0.0000,0.1040,0.0019,0.8970,0.0350,0.1820,128.0110,335275.0000,0
0.7260,0.7840,1.0000,-6.0530,1.0000,0.2390,0.0607,0.0000,0.1120,0.6510,192.0680,171147.0000,0
0.4570,0.8610,0.0000,-4.9160,1.0000,0.0612,0.0824,0.0006,0.3000,0.2310,87.9710,309360.0000,0
0.8330,0.4680,6.0000,-10.5460,0.0000,0.2620,0.4210,0.0051,0.1390,0.2340,101.8960,189760.0000,0
0.7640,0.7640,9.0000,-6.5990,0.0000,0.4080,0.6280,0.0000,0.0919,0.2230,86.9780,137968.0000,0
0.6610,0.8150,1.0000,-5.4070,0.0000,0.0497,0.1060,0.0000,0.0863,0.7020,141.9970,224453.0000,0
0.5890,0.5310,0.0000,-7.9610,1.0000,0.0290,0.1330,0.0012,0.2080,0.3270,75.0150,148188.0000,0
0.7350,0.6520,3.0000,-8.2150,0.0000,0.0490,0.0239,0.0881,0.0693,0.2200,118.0260,230860.0000,0
